LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
7m58s       Normal    Scheduled           pod/fortio-16704acf                     Successfully assigned minishop/fortio-16704acf to minikube
7m58s       Normal    Pulled              pod/fortio-16704acf                     Container image "fortio/fortio:1.63.0" already present on machine
7m57s       Normal    Started             pod/fortio-16704acf                     Started container fortio-16704acf
7m57s       Normal    Created             pod/fortio-16704acf                     Created container: fortio-16704acf
7m46s       Normal    Scheduled           pod/fortio-d634eaf1                     Successfully assigned minishop/fortio-d634eaf1 to minikube
7m45s       Normal    Started             pod/fortio-d634eaf1                     Started container fortio-d634eaf1
7m45s       Normal    Pulled              pod/fortio-d634eaf1                     Container image "fortio/fortio:1.63.0" already present on machine
7m45s       Normal    Created             pod/fortio-d634eaf1                     Created container: fortio-d634eaf1
7m27s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-89grp    Startup probe failed: Get "http://10.244.2.222:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m27s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4ppdj    Startup probe failed: Get "http://10.244.2.223:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m27s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-z6rgf    Startup probe failed: Get "http://10.244.2.221:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
7m4s        Normal    Scheduled           pod/fortio-71dce2bf                     Successfully assigned minishop/fortio-71dce2bf to minikube
7m3s        Normal    Pulled              pod/fortio-71dce2bf                     Container image "fortio/fortio:1.63.0" already present on machine
7m3s        Normal    Created             pod/fortio-71dce2bf                     Created container: fortio-71dce2bf
7m3s        Normal    Started             pod/fortio-71dce2bf                     Started container fortio-71dce2bf
6m50s       Normal    Scheduled           pod/fortio-e3fb8a01                     Successfully assigned minishop/fortio-e3fb8a01 to minikube
6m50s       Normal    Pulled              pod/fortio-e3fb8a01                     Container image "fortio/fortio:1.63.0" already present on machine
6m50s       Normal    Created             pod/fortio-e3fb8a01                     Created container: fortio-e3fb8a01
6m49s       Normal    Started             pod/fortio-e3fb8a01                     Started container fortio-e3fb8a01
6m7s        Normal    Scheduled           pod/fortio-6d20cbf7                     Successfully assigned minishop/fortio-6d20cbf7 to minikube
6m7s        Normal    Created             pod/fortio-6d20cbf7                     Created container: fortio-6d20cbf7
6m7s        Normal    Started             pod/fortio-6d20cbf7                     Started container fortio-6d20cbf7
6m7s        Normal    Pulled              pod/fortio-6d20cbf7                     Container image "fortio/fortio:1.63.0" already present on machine
5m57s       Normal    Scheduled           pod/fortio-d7e8c93f                     Successfully assigned minishop/fortio-d7e8c93f to minikube
5m57s       Normal    Pulled              pod/fortio-d7e8c93f                     Container image "fortio/fortio:1.63.0" already present on machine
5m57s       Normal    Created             pod/fortio-d7e8c93f                     Created container: fortio-d7e8c93f
5m57s       Normal    Started             pod/fortio-d7e8c93f                     Started container fortio-d7e8c93f
5m13s       Normal    Scheduled           pod/fortio-24bf1ae7                     Successfully assigned minishop/fortio-24bf1ae7 to minikube
5m12s       Normal    Pulled              pod/fortio-24bf1ae7                     Container image "fortio/fortio:1.63.0" already present on machine
5m12s       Normal    Created             pod/fortio-24bf1ae7                     Created container: fortio-24bf1ae7
5m12s       Normal    Started             pod/fortio-24bf1ae7                     Started container fortio-24bf1ae7
5m2s        Normal    Scheduled           pod/fortio-9a8e5240                     Successfully assigned minishop/fortio-9a8e5240 to minikube
5m2s        Normal    Pulled              pod/fortio-9a8e5240                     Container image "fortio/fortio:1.63.0" already present on machine
5m2s        Normal    Created             pod/fortio-9a8e5240                     Created container: fortio-9a8e5240
5m2s        Normal    Started             pod/fortio-9a8e5240                     Started container fortio-9a8e5240
4m20s       Normal    Scheduled           pod/fortio-b81256f0                     Successfully assigned minishop/fortio-b81256f0 to minikube
4m20s       Normal    Pulled              pod/fortio-b81256f0                     Container image "fortio/fortio:1.63.0" already present on machine
4m20s       Normal    Created             pod/fortio-b81256f0                     Created container: fortio-b81256f0
4m19s       Normal    Started             pod/fortio-b81256f0                     Started container fortio-b81256f0
4m10s       Normal    Scheduled           pod/fortio-7a410c63                     Successfully assigned minishop/fortio-7a410c63 to minikube
4m10s       Normal    Pulled              pod/fortio-7a410c63                     Container image "fortio/fortio:1.63.0" already present on machine
4m10s       Normal    Created             pod/fortio-7a410c63                     Created container: fortio-7a410c63
4m10s       Normal    Started             pod/fortio-7a410c63                     Started container fortio-7a410c63
3m26s       Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
3m26s       Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
3m26s       Normal    Created             pod/nettest                             Created container: nettest
3m26s       Normal    Started             pod/nettest                             Started container nettest
3m20s       Normal    Scheduled           pod/fortio-2d4fec5a                     Successfully assigned minishop/fortio-2d4fec5a to minikube
3m20s       Normal    Created             pod/fortio-2d4fec5a                     Created container: fortio-2d4fec5a
3m20s       Normal    Pulled              pod/fortio-2d4fec5a                     Container image "fortio/fortio:1.63.0" already present on machine
3m20s       Normal    Started             pod/fortio-2d4fec5a                     Started container fortio-2d4fec5a
3m11s       Normal    Scheduled           pod/fortio-a5c19de2                     Successfully assigned minishop/fortio-a5c19de2 to minikube
3m11s       Normal    Pulled              pod/fortio-a5c19de2                     Container image "fortio/fortio:1.63.0" already present on machine
3m10s       Normal    Created             pod/fortio-a5c19de2                     Created container: fortio-a5c19de2
3m10s       Normal    Started             pod/fortio-a5c19de2                     Started container fortio-a5c19de2
2m30s       Normal    Scheduled           pod/fortio-835d92f7                     Successfully assigned minishop/fortio-835d92f7 to minikube
2m29s       Normal    Pulled              pod/fortio-835d92f7                     Container image "fortio/fortio:1.63.0" already present on machine
2m29s       Normal    Created             pod/fortio-835d92f7                     Created container: fortio-835d92f7
2m29s       Normal    Started             pod/fortio-835d92f7                     Started container fortio-835d92f7
2m18s       Normal    Scheduled           pod/fortio-1f789c2e                     Successfully assigned minishop/fortio-1f789c2e to minikube
2m18s       Normal    Created             pod/fortio-1f789c2e                     Created container: fortio-1f789c2e
2m18s       Normal    Pulled              pod/fortio-1f789c2e                     Container image "fortio/fortio:1.63.0" already present on machine
2m18s       Normal    Started             pod/fortio-1f789c2e                     Started container fortio-1f789c2e
96s         Normal    Scheduled           pod/fortio-f61c27d5                     Successfully assigned minishop/fortio-f61c27d5 to minikube
96s         Normal    Created             pod/fortio-f61c27d5                     Created container: fortio-f61c27d5
96s         Normal    Pulled              pod/fortio-f61c27d5                     Container image "fortio/fortio:1.63.0" already present on machine
96s         Normal    Started             pod/fortio-f61c27d5                     Started container fortio-f61c27d5
87s         Normal    Scheduled           pod/fortio-19d4f6ac                     Successfully assigned minishop/fortio-19d4f6ac to minikube
87s         Normal    Created             pod/fortio-19d4f6ac                     Created container: fortio-19d4f6ac
87s         Normal    Pulled              pod/fortio-19d4f6ac                     Container image "fortio/fortio:1.63.0" already present on machine
86s         Normal    Started             pod/fortio-19d4f6ac                     Started container fortio-19d4f6ac
47s         Normal    Scheduled           pod/fortio-204e6a81                     Successfully assigned minishop/fortio-204e6a81 to minikube
47s         Normal    Created             pod/fortio-204e6a81                     Created container: fortio-204e6a81
47s         Normal    Pulled              pod/fortio-204e6a81                     Container image "fortio/fortio:1.63.0" already present on machine
46s         Normal    Started             pod/fortio-204e6a81                     Started container fortio-204e6a81
37s         Normal    Scheduled           pod/fortio-380adeb6                     Successfully assigned minishop/fortio-380adeb6 to minikube
37s         Normal    Started             pod/fortio-380adeb6                     Started container fortio-380adeb6
37s         Normal    Created             pod/fortio-380adeb6                     Created container: fortio-380adeb6
37s         Normal    Pulled              pod/fortio-380adeb6                     Container image "fortio/fortio:1.63.0" already present on machine
