"pattern","strategy","rep","segment","qps_req","qps_act","count","avg_ms","p50_ms","p90_ms","p99_ms","max_ms","code200","errors","start","file"
"spike","proactive","rep1","low_1","10","9.999","600","1.992","1.771","2.793","7.556","8.267","600","0","2026-01-25T02:57:44.298705913Z","spike\proactive\rep1\fortio_low_1.json"
"spike","proactive","rep1","low_2","10","9.989","600","20.103","2.939","91.923","124","175.466","600","0","2026-01-25T02:59:40.104994241Z","spike\proactive\rep1\fortio_low_2.json"
"spike","proactive","rep1","spike","60","59.993","1800","1.946","1.639","2.618","7.333","22.978","1800","0","2026-01-25T02:58:57.799819555Z","spike\proactive\rep1\fortio_spike.json"
"spike","proactive","rep1","warmup","10","9.994","50","2.022","1.846","2.857","3.289","3.347","50","0","2026-01-25T02:57:27.100825183Z","spike\proactive\rep1\fortio_warmup.json"
"spike","proactive","rep2","low_1","10","9.999","600","1.866","1.66","2.685","5.2","5.439","600","0","2026-01-25T03:01:38.392159626Z","spike\proactive\rep2\fortio_low_1.json"
"spike","proactive","rep2","low_2","10","9.998","600","7.006","5.649","9.889","58","99.092","600","0","2026-01-25T03:03:31.879286313Z","spike\proactive\rep2\fortio_low_2.json"
"spike","proactive","rep2","spike","60","59.969","1800","7.114","6.273","10.875","58.462","100.463","1800","0","2026-01-25T03:02:50.749918543Z","spike\proactive\rep2\fortio_spike.json"
"spike","proactive","rep2","warmup","10","9.842","50","39.326","23.75","92.5","166.145","172.289","50","0","2026-01-25T03:01:12.126485862Z","spike\proactive\rep2\fortio_warmup.json"
"spike","proactive","rep3","low_1","10","9.999","600","5.437","4.873","7.911","14","57.591","600","0","2026-01-25T03:04:59.635230394Z","spike\proactive\rep3\fortio_low_1.json"
"spike","proactive","rep3","low_2","10","9.999","600","4.229","3.624","5.636","15.333","40.032","600","0","2026-01-25T03:06:53.165824665Z","spike\proactive\rep3\fortio_low_2.json"
"spike","proactive","rep3","spike","60","59.99","1800","4.073","3.321","5.712","31.667","61.449","1800","0","2026-01-25T03:06:12.038136691Z","spike\proactive\rep3\fortio_spike.json"
"spike","proactive","rep3","warmup","10","9.989","50","8.618","5.062","7","81.517","82.022","50","0","2026-01-25T03:04:45.092285671Z","spike\proactive\rep3\fortio_warmup.json"
"spike","reactive","rep1","low_1","10","9.999","600","2.088","1.85","2.876","6.917","7.859","600","0","2026-01-25T02:33:50.131767519Z","spike\reactive\rep1\fortio_low_1.json"
"spike","reactive","rep1","low_2","10","9.999","600","2.045","1.769","2.878","6.571","11.073","600","0","2026-01-25T02:35:44.51910748Z","spike\reactive\rep1\fortio_low_2.json"
"spike","reactive","rep1","spike","60","59.994","1800","2.119","1.713","2.788","6.952","103.405","1800","0","2026-01-25T02:35:03.361518397Z","spike\reactive\rep1\fortio_spike.json"
"spike","reactive","rep1","warmup","10","9.995","50","1.908","1.772","2.75","4.017","4.023","50","0","2026-01-25T02:33:34.220342479Z","spike\reactive\rep1\fortio_warmup.json"
"spike","reactive","rep2","low_1","10","9.999","600","3.562","2.068","4.44","38.333","64.602","600","0","2026-01-25T02:37:18.92744969Z","spike\reactive\rep2\fortio_low_1.json"
"spike","reactive","rep2","low_2","10","10","600","1.893","1.742","2.75","3.668","3.918","600","0","2026-01-25T02:39:15.5758231Z","spike\reactive\rep2\fortio_low_2.json"
"spike","reactive","rep2","spike","60","59.995","1800","2.579","1.858","3.2","9.909","150.84","1800","0","2026-01-25T02:38:33.240630983Z","spike\reactive\rep2\fortio_spike.json"
"spike","reactive","rep2","warmup","10","9.991","50","2.416","2.062","4.333","5.216","5.259","50","0","2026-01-25T02:37:00.420104988Z","spike\reactive\rep2\fortio_warmup.json"
"spike","reactive","rep3","low_1","10","10","600","2.125","1.861","2.972","5.8","16.835","600","0","2026-01-25T02:40:43.66543986Z","spike\reactive\rep3\fortio_low_1.json"
"spike","reactive","rep3","low_2","10","9.999","600","2.102","1.879","2.885","6","8.095","600","0","2026-01-25T02:42:40.572389486Z","spike\reactive\rep3\fortio_low_2.json"
"spike","reactive","rep3","spike","60","59.993","1800","2.228","1.803","2.946","11.357","38.716","1800","0","2026-01-25T02:41:58.806943859Z","spike\reactive\rep3\fortio_spike.json"
"spike","reactive","rep3","warmup","10","9.994","50","1.785","1.706","2.207","2.672","2.723","50","0","2026-01-25T02:40:28.56389334Z","spike\reactive\rep3\fortio_warmup.json"
