LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
18m         Normal    Scheduled           pod/fortio-d7e8c93f                     Successfully assigned minishop/fortio-d7e8c93f to minikube
18m         Normal    Pulled              pod/fortio-d7e8c93f                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Created             pod/fortio-d7e8c93f                     Created container: fortio-d7e8c93f
18m         Normal    Started             pod/fortio-d7e8c93f                     Started container fortio-d7e8c93f
17m         Normal    Scheduled           pod/fortio-24bf1ae7                     Successfully assigned minishop/fortio-24bf1ae7 to minikube
17m         Normal    Pulled              pod/fortio-24bf1ae7                     Container image "fortio/fortio:1.63.0" already present on machine
17m         Normal    Started             pod/fortio-24bf1ae7                     Started container fortio-24bf1ae7
17m         Normal    Created             pod/fortio-24bf1ae7                     Created container: fortio-24bf1ae7
17m         Normal    Scheduled           pod/fortio-9a8e5240                     Successfully assigned minishop/fortio-9a8e5240 to minikube
17m         Normal    Started             pod/fortio-9a8e5240                     Started container fortio-9a8e5240
17m         Normal    Pulled              pod/fortio-9a8e5240                     Container image "fortio/fortio:1.63.0" already present on machine
17m         Normal    Created             pod/fortio-9a8e5240                     Created container: fortio-9a8e5240
16m         Normal    Scheduled           pod/fortio-b81256f0                     Successfully assigned minishop/fortio-b81256f0 to minikube
16m         Normal    Created             pod/fortio-b81256f0                     Created container: fortio-b81256f0
16m         Normal    Pulled              pod/fortio-b81256f0                     Container image "fortio/fortio:1.63.0" already present on machine
16m         Normal    Started             pod/fortio-b81256f0                     Started container fortio-b81256f0
16m         Normal    Scheduled           pod/fortio-7a410c63                     Successfully assigned minishop/fortio-7a410c63 to minikube
16m         Normal    Started             pod/fortio-7a410c63                     Started container fortio-7a410c63
16m         Normal    Created             pod/fortio-7a410c63                     Created container: fortio-7a410c63
16m         Normal    Pulled              pod/fortio-7a410c63                     Container image "fortio/fortio:1.63.0" already present on machine
15m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
15m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
15m         Normal    Started             pod/nettest                             Started container nettest
15m         Normal    Created             pod/nettest                             Created container: nettest
15m         Normal    Scheduled           pod/fortio-2d4fec5a                     Successfully assigned minishop/fortio-2d4fec5a to minikube
15m         Normal    Created             pod/fortio-2d4fec5a                     Created container: fortio-2d4fec5a
15m         Normal    Pulled              pod/fortio-2d4fec5a                     Container image "fortio/fortio:1.63.0" already present on machine
15m         Normal    Started             pod/fortio-2d4fec5a                     Started container fortio-2d4fec5a
15m         Normal    Scheduled           pod/fortio-a5c19de2                     Successfully assigned minishop/fortio-a5c19de2 to minikube
