timestamp,deploy,replicas_ready,replicas_total
2026-01-24T02:59:24.4139387+01:00,ERROR,0,0
2026-01-24T02:59:24.4241971+01:00,ERROR,0,0
2026-01-24T02:59:24.4369139+01:00,ERROR,0,0
2026-01-24T02:59:24.4446551+01:00,ERROR,0,0
2026-01-24T02:59:24.4545645+01:00,ERROR,0,0
2026-01-24T02:59:24.4624262+01:00,ERROR,0,0
2026-01-24T02:59:24.4720625+01:00,ERROR,0,0
2026-01-24T02:59:24.4790827+01:00,ERROR,0,0
2026-01-24T02:59:24.4882379+01:00,ERROR,0,0
2026-01-24T02:59:24.4972527+01:00,ERROR,0,0
2026-01-24T02:59:24.5044219+01:00,ERROR,0,0
2026-01-24T02:59:24.5190449+01:00,ERROR,0,0
2026-01-24T02:59:24.5350835+01:00,ERROR,0,0
2026-01-24T02:59:24.5456753+01:00,ERROR,0,0
2026-01-24T02:59:24.5543535+01:00,ERROR,0,0
2026-01-24T02:59:24.5645375+01:00,ERROR,0,0
2026-01-24T02:59:24.5720505+01:00,ERROR,0,0
2026-01-24T02:59:24.5821954+01:00,ERROR,0,0
2026-01-24T02:59:24.5927228+01:00,ERROR,0,0
2026-01-24T02:59:24.6013533+01:00,ERROR,0,0
2026-01-24T02:59:24.6115043+01:00,ERROR,0,0
2026-01-24T02:59:24.6190252+01:00,ERROR,0,0
2026-01-24T02:59:24.6281175+01:00,ERROR,0,0
2026-01-24T02:59:24.6372167+01:00,ERROR,0,0
2026-01-24T02:59:24.6486646+01:00,ERROR,0,0
2026-01-24T02:59:24.6572973+01:00,ERROR,0,0
2026-01-24T02:59:24.6688145+01:00,ERROR,0,0
2026-01-24T02:59:24.6775750+01:00,ERROR,0,0
2026-01-24T02:59:24.6845690+01:00,ERROR,0,0
2026-01-24T02:59:24.6941013+01:00,ERROR,0,0
2026-01-24T02:59:24.7035298+01:00,ERROR,0,0
2026-01-24T02:59:24.7141088+01:00,ERROR,0,0
2026-01-24T02:59:24.7234026+01:00,ERROR,0,0
2026-01-24T02:59:24.7407486+01:00,ERROR,0,0
2026-01-24T02:59:24.7504838+01:00,ERROR,0,0
2026-01-24T02:59:24.7585425+01:00,ERROR,0,0
2026-01-24T02:59:24.7671971+01:00,ERROR,0,0
2026-01-24T02:59:24.7812737+01:00,ERROR,0,0
2026-01-24T02:59:24.7914853+01:00,ERROR,0,0
2026-01-24T02:59:24.8016470+01:00,ERROR,0,0
2026-01-24T02:59:24.8086424+01:00,ERROR,0,0
2026-01-24T02:59:24.8188415+01:00,ERROR,0,0
2026-01-24T02:59:24.8319418+01:00,ERROR,0,0
2026-01-24T02:59:24.8399306+01:00,ERROR,0,0
2026-01-24T02:59:24.8504129+01:00,ERROR,0,0
2026-01-24T02:59:24.8610783+01:00,ERROR,0,0
2026-01-24T02:59:24.8703409+01:00,ERROR,0,0
2026-01-24T02:59:24.8773017+01:00,ERROR,0,0
2026-01-24T02:59:24.8848166+01:00,ERROR,0,0
2026-01-24T02:59:24.8949652+01:00,ERROR,0,0
2026-01-24T02:59:24.9057729+01:00,ERROR,0,0
2026-01-24T02:59:24.9161047+01:00,ERROR,0,0
2026-01-24T02:59:24.9237780+01:00,ERROR,0,0
2026-01-24T02:59:24.9325230+01:00,ERROR,0,0
2026-01-24T02:59:24.9423050+01:00,ERROR,0,0
2026-01-24T02:59:24.9530103+01:00,ERROR,0,0
2026-01-24T02:59:24.9613145+01:00,ERROR,0,0
2026-01-24T02:59:24.9720534+01:00,ERROR,0,0
2026-01-24T02:59:24.9795790+01:00,ERROR,0,0
2026-01-24T02:59:24.9904945+01:00,ERROR,0,0
2026-01-24T02:59:25.0006636+01:00,ERROR,0,0
2026-01-24T02:59:25.0081846+01:00,ERROR,0,0
2026-01-24T02:59:25.0183637+01:00,ERROR,0,0
2026-01-24T02:59:25.0263611+01:00,ERROR,0,0
2026-01-24T02:59:25.0367053+01:00,ERROR,0,0
2026-01-24T02:59:25.0455430+01:00,ERROR,0,0
2026-01-24T02:59:25.0541144+01:00,ERROR,0,0
2026-01-24T02:59:25.0613303+01:00,ERROR,0,0
2026-01-24T02:59:25.0713429+01:00,ERROR,0,0
2026-01-24T02:59:25.0880775+01:00,ERROR,0,0
2026-01-24T02:59:25.0972093+01:00,ERROR,0,0
2026-01-24T02:59:25.1057344+01:00,ERROR,0,0
2026-01-24T02:59:25.1155174+01:00,ERROR,0,0
2026-01-24T02:59:25.1262891+01:00,ERROR,0,0
2026-01-24T02:59:25.1420020+01:00,ERROR,0,0
2026-01-24T02:59:25.1515478+01:00,ERROR,0,0
2026-01-24T02:59:25.1604280+01:00,ERROR,0,0
2026-01-24T02:59:25.1696250+01:00,ERROR,0,0
2026-01-24T02:59:25.1791578+01:00,ERROR,0,0
2026-01-24T02:59:25.1874848+01:00,ERROR,0,0
2026-01-24T02:59:25.1983259+01:00,ERROR,0,0
2026-01-24T02:59:25.2076212+01:00,ERROR,0,0
2026-01-24T02:59:25.2188068+01:00,ERROR,0,0
2026-01-24T02:59:25.2273385+01:00,ERROR,0,0
2026-01-24T02:59:25.2365730+01:00,ERROR,0,0
2026-01-24T02:59:25.2456260+01:00,ERROR,0,0
2026-01-24T02:59:25.2526373+01:00,ERROR,0,0
2026-01-24T02:59:25.2623479+01:00,ERROR,0,0
2026-01-24T02:59:25.2718802+01:00,ERROR,0,0
2026-01-24T02:59:25.2790781+01:00,ERROR,0,0
2026-01-24T02:59:25.2886729+01:00,ERROR,0,0
2026-01-24T02:59:25.2968611+01:00,ERROR,0,0
2026-01-24T02:59:25.3058765+01:00,ERROR,0,0
2026-01-24T02:59:25.3175631+01:00,ERROR,0,0
2026-01-24T02:59:25.3279474+01:00,ERROR,0,0
2026-01-24T02:59:25.3406182+01:00,ERROR,0,0
2026-01-24T02:59:25.3486101+01:00,ERROR,0,0
2026-01-24T02:59:25.3579562+01:00,ERROR,0,0
2026-01-24T02:59:25.3651723+01:00,ERROR,0,0
2026-01-24T02:59:25.3764472+01:00,ERROR,0,0
2026-01-24T02:59:25.3879320+01:00,ERROR,0,0
2026-01-24T02:59:25.3959691+01:00,ERROR,0,0
2026-01-24T02:59:25.4051431+01:00,ERROR,0,0
2026-01-24T02:59:25.4146663+01:00,ERROR,0,0
2026-01-24T02:59:25.4294151+01:00,ERROR,0,0
2026-01-24T02:59:25.4374757+01:00,ERROR,0,0
2026-01-24T02:59:25.4455408+01:00,ERROR,0,0
2026-01-24T02:59:25.4533481+01:00,ERROR,0,0
2026-01-24T02:59:25.4614653+01:00,ERROR,0,0
2026-01-24T02:59:25.4711934+01:00,ERROR,0,0
2026-01-24T02:59:25.4794055+01:00,ERROR,0,0
2026-01-24T02:59:25.4981440+01:00,ERROR,0,0
2026-01-24T02:59:25.5057106+01:00,ERROR,0,0
2026-01-24T02:59:25.5150149+01:00,ERROR,0,0
2026-01-24T02:59:25.5252164+01:00,ERROR,0,0
2026-01-24T02:59:25.5420731+01:00,ERROR,0,0
2026-01-24T02:59:25.5517684+01:00,ERROR,0,0
2026-01-24T02:59:25.5590609+01:00,ERROR,0,0
2026-01-24T02:59:25.5676056+01:00,ERROR,0,0
2026-01-24T02:59:25.5787400+01:00,ERROR,0,0
